COMMODITY,Description
26101757,Spark plug fittings
26101758,Rocker arm adjusters
26101759,Starter adapters
26101760,Choke rods
26101761,Camshaft plugs
26101762,Engine component linkages
26101763,Freeze plugs
26101764,Cylinder liners
26101765,Vibration dampers
26101766,Governors
26101767,Turbine stator
26101768,Turbine shaft
26101769,Ignition coil
26101770,Electronic engine control for gasoline engines
26101771,Electronic engine control for diesel engine
26101772,Injector cleaner
26101773,Diesel proportional metering valve
26101774,Canister purge solenoid valve
26101775,Diesel high pressure valve
26101776,Immobilizer coil
26101777,Fuel injector coil gasoline
26101778,Fuel injector coil diesel
26101779,Wiring harness grommet
26101780,Oil injector or metering valve
26101781,Piston pin
26101782,Ignition distributor
26101783,Hydraulic swivel joint
26101784,Differential spider
26101785,Oil strainer element
26101786,Valve tappet
26101787,Admission valve and rack
26101789,Engine head gasket
26101790,Fuel gas supply system
26101791,Main bearings
26101792,Connecting rod bearings
26101793,Piston cooling jets and valves
26101794,Steam turbine spare parts and accessories
26101795,Gas turbine spare parts and accessories
26101796,Hydraulic emergency shut off system
26101797,Engine spare parts
26101903,Camshaft
26101904,Fuel injection nozzle
26101905,Cylinder block
26101906,Camshaft bearings
26111503,Mechanical adjustable speed drive
26111504,Belt drives
26111505,Chain drives
26111506,Linear motion devices
26111508,Power take offs
26111509,Transmission yokes
26111510,Transmission shafts
26111512,Axles
26111513,Power transmission chains
26111514,Knuckle joints
26111515,Servo controller
26111516,Step drive or stepper drive or step indexer
26111517,Planet carrier
26111518,Tension strut
26111519,Torque converters
26111520,Trunnions
26111521,Pusher head
26111522,Pusher assembly
26111523,Backstops
26111524,Gear units
26111525,Drum motor drives
26111527,Integrated motion control systems
26111528,Hydrostatic drives
26111529,Hydrokinetic drives
26111530,Transmission cam
26111531,Transmission sleeves
26111532,Shaft supports or assemblies
26111533,Chain tensioners
26111534,Transmission hubs
26111535,Ballscrews or ballscrew assemblies
26111536,Shaft mounted speed reducer
26111537,Worm speed reducer
26111538,Helical speed reducer
26111539,Helical and worm speed reducer
26111540,Planetary speed reducer
26111541,Cycloidal speed reducer
26111542,Bevel speed reducer increaser
26111543,Traction drive speed reducer
26111544,Speed controller
26111545,Brake drum adapter
26111546,Turbine disk
26111547,Clamping hub
26111548,Gear shift
26111549,Shaft shoulder
26111550,Motion control parts and accessories
26111601,Diesel generators
26111602,Hydro electric generators
26111603,Wind generators
26111604,Gas generators
26111605,Thermal generators
26111606,Hydraulic generators
26111607,Solar generators
26111608,Steam generators
26111609,Gas turbine generator
26111610,Selsyn generator
26111611,Auxiliary generator
26111612,Impulse generator
26111613,Tidal wave generator
26111614,Piezo-electric generator
26111615,Petrol generator
26111701,Rechargeable batteries
26111702,Alkaline batteries
26111703,Vehicle batteries
26111704,Battery chargers
26111705,Dry cell batteries
26111706,Electronic batteries
26111707,Lead acid batteries
26111708,Nickel iron batteries
26111709,Nickel cadmium batteries
26111710,Product specific battery packs
26111711,Lithium batteries
26111712,Nickel hydrogen batteries
26111713,Thermal batteries
26111714,Zinc air
26111715,Zinc coal battery
26111716,Mercury oxide battery
26111717,Manganese batteries
26111718,Silver oxide batteries
26111719,Battery testers
26111720,Battery holders
26111721,Nickel metal hydride batteries
26111722,Battery adapter or accessories
26111723,Battery cabinets or covers or doors
26111724,Tool kits for batteries
26111725,Nickel sodium chloride batteries
26111726,Fluorescent ballast battery unit
26111727,Battery discharger
26111728,Standard cell
26111729,Auto battery charger unit
26111730,Redox flow battery or fuel cell
26111731,Seawater battery
26111732,Battery repair tool
26111733,Battery energy storage control and management system
26111801,V belts
26111802,Geared timing belts
26111803,Round belts
26111804,Flat belts
26111805,Belt tensioners
26111806,Transmission pulleys
26111807,Timing pulley
26111808,Trantorque
26111809,Belt guards
26111810,Timing pulley flanges
26111811,Synchronous belt
26111812,Synchronous pulley
26111813,Variable speed pulley
26111814,Hexagonal belt
26111815,Cone pulley
26111816,Flat pulley
26111901,Plate clutches
26111902,Diaphragm clutch
26111903,Centrifugal clutch
26111904,Semi centrifugal clutch
26111905,Free wheel clutch
26111907,Fluid coupling
26111908,Cam clutches
26111909,Electrical clutches
26111910,Hydraulic clutches
26111911,Pneumatic clutch
26111912,Mechanical clutch
26111913,Clutch hold back unit
26111914,Jaw clutch
26111915,Automatic clutch
26111916,Semi automatic clutch
26111917,Electromagnetic clutch
26112001,Pressure plate
26112002,Driven plate
26112003,Clutch plates
26112004,Clutch repair kits
26112005,Clutch handle base for motorcycle
26112006,Clutch pump and components
26112101,Air or pneumatic braking systems
26112102,Hydraulic braking systems
26112103,Mechanical braking systems
26112104,Braking clutch assemblies
26112105,Electrical braking systems
26121501,Heating wire
26121505,Fixture wire
26121507,Radio or television wire
26121508,Automotive or aircraft wire
26121509,Magnet wire
26121510,Trolley wire
26121514,Underground wire
26121515,Silicon asbestos SA wire
26121517,Copper wire
26121519,Copper clad aluminum wire
26121520,Copper steel wire
26121521,Bronze wire
26121522,Bare wire
26121523,Covered but not insulated wire
26121524,Insulated or covered wire
26121532,Inter connect wire
26121533,Kaptan wire
26121534,Polymide wire
26121536,Extension cord
26121538,Wire assembly
26121539,Hook up wires
26121540,Galvanized wire
26121541,Bus conductors
26121542,Installation wire
26121543,Heat resistant wire
26121544,Drop wire
26121545,Portable electrical cord
26121546,Tinned copper wire
26121547,Brass wire
26121548,Rectangular wire
26121549,Insulated winding wire
26121601,Heating cable
26121602,Submarine cable
26121603,Control cable
26121604,Signal cable
26121606,Coaxial cable
26121607,Fiber optic cable
26121608,Aerial cable
26121609,Network cable
26121610,Bronze cable
26121611,Bare cable
26121612,Covered but not insulated cable
26121613,Insulated or covered cable
26121614,Building cable
26121615,Power cable for direct burial
26121616,Telecommunications cable
26121617,Triaxial cable
26121618,Crosslinked polykaene cable
26121619,Floropolymer cable
26121620,Inter connect cable
26121621,Kaptan cable
26121622,Polymide cable
26121623,Radio frequency RF cable
26121624,Ribbon or flat cable
26121628,Screened cables
26121629,Power cable
26121630,Cable accessories
26121631,Outside plant coaxial cable
26121632,Outside plant communications cable
26121633,Outside plant telecommunications cable
26121634,Copper cable
26121635,Cable reels
26121636,Power cord
26121637,Outdoor fiber optics cable
26121638,Crimping materials
26121639,Combined or customized multi cables
26121640,Heat resistant cables
26121641,Installation cables
26121642,Instrumentation Cable
26121643,Bare steel reinforced electrical cable
26121644,Bare aluminum electrical cable
26121645,Bare copper electrical cable
26121646,Trailing and mining machine cable
26121647,Trailing and mining machine cable assembly
26121648,High voltage cable termination kit
26121649,High voltage cable joining kit
26121650,Fiber optic cable assembly
26121651,Oil resistant SO cable
26121652,Electrical cord assembly
26121653,Toll cable
26121654,Carrier frequency cable
26121655,Simplex and duplex fiber optic cable
26121656,Submarine fiber optic cable
26121657,Flame retardant fiber optic cable
26121658,Aluminum conductor motion resistant transmission cable
26121659,Aluminum conductor quadruplex service drop cable
26121660,Aluminum conductor duplex service drop cable
26121661,Aluminum conductor underground service entrance cable
26121662,Aluminum conductor service entrance cable
26121663,Single aluminum conductor service cable
26121664,Aluminum conductor polyethylene covered line wire
26121665,Aluminum triplex service drop cable
26121666,Communication cable assembly
26121667,Backplane input output cable
26121668,Cord/cable management device
26121701,Panel wiring harness
26121702,Trunk wiring harness
26121703,Communication wiring harness
26121704,Specialty wiring harness
26121706,Coaxial assembly
26121707,Flat flexible cable assembly
26121708,Battery cable assembly
26121709,Coiled cord assembly
26121710,Oxygen sensor wiring harness
26121802,Single core 60 volt class a automotive cable
26121803,Single core 60 volt class b automotive cable
26121804,Single core 60 volt class c automotive cable
26121805,Single core 60 volt class d automotive cable
26121806,Single core 60 volt class e automotive cable
26121807,Single core 60 volt class f automotive cable
26121808,Single core 60 volt class g automotive cable
26121809,Single core 60 volt class h automotive cable
26121810,Single core 600 volt class a automotive cable
26121811,Single core 600 volt class b automotive cable
26121812,Single core 600 volt class c automotive cable
26121813,Single core 600 volt class d automotive cable
26121814,Single core 600 volt class e automotive cable
26121815,Single core 600 volt class f automotive cable
26121816,Single core 600 volt class g automotive cable
26121817,Single core 600 volt class h automotive cable
26121818,Multi core 60 volt class a automotive cable
26121819,Multi core 60 volt class b automotive cable
26121820,Multi core 60 volt class c automotive cable
26121821,Multi core 60 volt class d automotive cable
26121822,Multi core 60 volt class e automotive cable
26121823,Multi core 60 volt class f automotive cable
26121824,Multi core 60 volt class g automotive cable
26121825,Multi core 60 volt class h automotive cable
26121826,Multi core 600 volt class a automotive cable
26121827,Multi core 600 volt class b automotive cable
26121828,Multi core 600 volt class c automotive cable
26121829,Multi core 600 volt class d automotive cable
26121830,Multi core 600 volt class e automotive cable
26121831,Multi core 600 volt class f automotive cable
26121832,Multi core 600 volt class g automotive cable
26121833,Multi core 600 volt class h automotive cable
26121834,Braided 60 volt class a automotive cable
26121835,Braided 60 volt class b automotive cable
26121836,Braided 60 volt class c automotive cable
26121837,Braided 60 volt class d automotive cable
26121838,Braided 60 volt class e automotive cable
26121839,Braided 60 volt class f automotive cable
26121840,Braided 60 volt class g automotive cable
26121841,Braided 60 volt class h automotive cable
26121842,Braided 600 volt class a automotive cable
26121843,Braided 600 volt class b automotive cable
26121844,Braided 600 volt class c automotive cable
26121845,Braided 600 volt class d automotive cable
26121846,Braided 600 volt class e automotive cable
26121847,Braided 600 volt class f automotive cable
26121848,Braided 600 volt class g automotive cable
26121849,Braided 600 volt class h automotive cable
26121850,Multi core screened 60 volt automotive cable
26121851,Multi core screened 600 volt automotive cable
26121852,Ignition core automotive cable
26131501,Diesel power plants
26131502,Geothermal power plants
26131503,Hydro power plants
26131504,Gas power plants
26131505,Marine power plants
26131506,Petrol power plants
26131507,Solar power plants
26131508,Steam power plants
26131509,Wind power plants
26131510,Thermal power plants
26131511,"Generator set, gasoline powered"
26131512,Gasoline generator set
26131601,Traveling water screens
26131602,Stop logs
26131603,Water trash racks
26131604,Fixed screens
26131605,Intake structures
26131606,Steel exhaust stack
26131607,Concrete exhaust stacks
26131608,Flare or vent stacks
26131609,Exhaust inlet stacks
26131610,Bypass stacks
26131611,Silencer sections
26131612,Exhaust outlet ducts
26131613,Exhaust duct expansion joints
26131614,Stack closure dampers
26131615,Exhaust diversion dampers
26131616,Exhaust isolation dampers
26131617,Vane damper
26131618,Poppet damper
26131619,Flare tip and component
26131701,Combustible or hazardous gas detectors for power generators
26131702,Gas turbine combustion system flame detectors
26131801,Electrical control panels for generators
26131802,Compressor control panels
26131803,Generator control or protection panels
26131804,Gas turbine control panels
26131807,Steam turbines control panels
26131808,Substation load control switchgears
26131811,Current limiting reactors
26131812,Gas insulated switchgears
26131813,Switchyard disconnect switches
26131814,Switchyard surge arrestors
26131815,Electric accumulator
26131901,Offshore wind turbine
26131902,Offshore turbine tower
26131903,Offshore monopile foundation
26131904,Offshore jacket foundation
26131905,Offshore gravity foundation
26131906,Offshore floating foundation
26131907,Offshore transition piece
26131908,Offshore substation topside
26131909,Onshore substation
26131910,Inter array cables and accessories
26131911,Export cables and accessories
26141601,Subcritical assembly fuel
26141602,Subcritical assembly components
26141603,Subcritical assembly moderator
26141701,Ionization chamber dosimeters
26141702,Dosimeters
26141703,Secondary standard dosimetry systems
26141704,Phantom dosimeters
26141801,Hot cell remote handling equipment
26141802,Hot cell remote viewing device
26141803,Hot cell shielding doors
26141804,Hot cell samplers
26141805,Hot cell sample processing equipment
26141806,Hot cell special tools
26141807,Hot cell lead glass windows
26141808,Hot cell decontamination systems
26141809,Hot cell penetration devices
26141901,Industrial nucleonic airborne dust measuring systems
26141902,Beta gauge measuring systems
26141904,Industrial nucleonic liquid level gauges
26141905,Industrial nucleonic mass per unit ore measuring systems
26141906,Industrial nucleonic moisture measuring systems
26141907,Industrial nucleonic thickness measuring systems
26141908,Industrial nucleonic flow measuring systems
26141909,Isotope separators
26141910,Isotope production facilities
26141911,Isotope calibrator activity meters
26142001,Irradiation gamma sources
26142002,Magnet systems
26142003,NIM nuclear electronic units
26142004,Neutron irradiators
26142005,Irradiation testing capsules
26142006,Irradiation sample transfer system
26142007,Neutron generators
26142101,Nuclear reactor specimen irradiation containers
26142106,Nuclear reactor control rod systems
26142108,Nuclear reactor in core neutron flux instrumentation
26142117,Nuclear reactor earthquake instrumentation
26142201,Nuclear fuel cladding tubes
26142202,Nuclear fuel element failure detection systems
26142302,Lead screens
26142303,Film badges
26142304,Radiographic equipment
26142306,Shielded containers for radiation protection
26142307,Lead chambers or safes for radiation protection
26142308,Lead bricks for radiation protection
26142310,Glove boxes for radiation protection
26142311,Radiation shielding windows
26142312,Lead for radiation shielding
26142401,Radioactive waste treatment compactors or incinerators
26142402,Nuclear radiation absorbers
26142403,Atomic energy evaporators or concentrators or dryers
26142404,Door interlocking systems
26142405,Radioactive waste dosage systems
26142406,Radioactive waste solidification systems
26142407,Radioactive waste disposal systems
26142408,Radioactive waste treatment facilities
27111501,Knife blades
27111502,Razor knives
27111503,Utility knives
27111504,Pocket knives
27111505,Punches or nail sets or drifts
27111506,Shears
27111507,Metal cutters
27111508,Saws
27111509,Augers
27111510,Stripping tools
27111511,Wire cutters
27111512,Bolt cutters
27111513,Hose cutter
27111514,Glass cutters
27111515,Hand or push drill
27111516,Punching pliers
27111517,Knife blade sets or dispensers
27111518,Wire lug crimping tool
27111519,Tinners snips
27111520,Nut splitters
27111521,Nibblers
27111522,Flaring tool
27111523,Glass scraper
27111524,Rivet cutter
27111525,Pincers
27111526,Deburring tool
27111527,Wad punch
27111529,Insulated scissors
27111530,Fishmonger scissors
27111531,Hair scissors
27111532,Jeweler scissors
27111533,Butcher scissors
27111534,Compass cutter
27111535,Wire scissors
27111536,Circle cutter
27111537,Wood auger bit
27111538,Forstner bit
27111539,Flat wood bit
27111540,Tile bit
27111541,Bullet pilot point
27111542,Spur point bit
27111543,Masonry bit
27111544,Rip saw
27111545,Crosscut saw
27111546,Panel saw
27111547,Flooring saw
27111548,Tenon or back saw
27111549,Pad or keyhole saw
27111550,Bow saw
27111551,Log saw
27111552,Coping saw
27111553,Two man crosscut saw
27111554,Blade sharpener
27111555,Center punch
27111556,Hollow punch
27111557,Taper punch
27111558,Parallel pin punch
27111559,Hacksaw
27111560,Mini pliers
27111561,Miter box
27111562,Optical fiber cleaver
27111601,Mallets
27111602,Hammers
27111603,Anvils
27111604,Hatchets
27111605,Picks
27111607,Swaging tools
27111608,Manual wire straighteners
27111609,Electric wire straighteners
27111610,Hammer and mallet components
27111611,Stonemason hammer
27111612,Non sparking hammer or mallet
27111613,Non sparking hatchet
27111614,Non sparking pick
27111615,Sledge hammer
27111616,Ball peen hammer
27111617,Rubber mallet
27111618,Claw hammer
27111619,Cross and straight pein hammer
27111620,Cross pein pin hammer
27111621,Club hammer or lump hammer
27111622,Joiners mallet
27111623,Hand bottle crimper
27111701,Screwdrivers
27111702,Nut drivers
27111703,Socket sets
27111704,Sockets
27111705,Box end wrenches
27111706,Open end wrenches
27111707,Adjustable wrenches
27111708,Pipe wrenches
27111709,Screw extractors
27111710,Hex keys
27111711,Ratchets
27111712,Pullers
27111713,Combination wrenches
27111714,Specialty wrenches
27111715,Torque wrenches
27111716,Torx keys
27111717,Pipe extractors
27111718,Tap extractors
27111720,T handle tap wrenches
27111721,Cranks
27111722,Die stocks
27111723,Tube wrenches
27111724,Hook wrenches
27111725,Offset socket wrenches
27111726,Spanner wrenches
27111727,Chuck keys
27111728,Screwdriver set
27111729,Wrench set
27111730,Double ended swivel wrench
27111731,Precision screwdriver
27111732,Non sparking screwdriver
27111733,Flexible rod screwdriver
27111734,Multiple tip screwdriver
27111735,Ratchet screwdriver
27111736,Insulated screwdriver
27111737,Hand push automatic screwdriver
27111738,Voltage tester screwdriver
27111739,Torque screwdriver
27111740,Telescoping screwdriver
27111741,Interchangeable rod screwdriver
27111742,Impact screwdriver
27111743,Ring wrench or spanner
27111744,Offset ring wrench or spanner
27111745,Split ring wrench or spanner
27111746,Bulldog wrench or spanner
27111747,Box wrench or spanner
27111748,Footprint wrench
27111749,Pipe wrench or stillson wrench
27111750,Mole wrench
27111751,Tap spanner or basin wrench
27111752,Obstruction wrench
27111753,Ratchet wrench
27111754,S wrench
27111755,Y wrench
27111756,Crows foot wrench
27111757,Slugging wrench
27111758,Cam over wrench
27111759,Blade wrench
27111760,Wheel nut wrench or lug nut wrench
27111761,Water pump wrench
27111762,Flexible head gear wrench
27111763,Allen wrench
27111764,Drill drift
27111765,Drum plug wrench
27111766,Cross rim wrench
27111767,Offset screw driver
27111768,Point socket
27111769,Oil filter wrench
27111801,Tape measures
27111802,Levels
27111803,Squares
27111804,Plumb bobs
27111806,Nail or router gauges
27111807,Straight edges
27111809,Bevels
27111810,Stud finders
27111811,Folding ruler
27111812,Long tape ruler
27111813,Plumb bob line
27111814,Inspection mirror
27111815,Combination square
27111816,Gage ball set
27111817,Shrink or shrinkage rule
27111818,Dial gauge stand
27111819,Roughness comparison specimen
27111820,Square master
27111821,Cylindrical square
27111822,Angle measuring instrument
27111823,Center gauge
27111824,Angle gauge
27111825,Sine plate
27111826,Precision surface plate
27111827,Adjustable angle plate
27111828,Fixed angle plate
27111829,Optical parallel
27111830,Measuring tool
27111831,NDT surveying instruments
27111901,Cold chisels
27111903,Planes
27111904,Rasps
27111905,Grinders
27111906,Wood chisels
27111907,Wire brushes
27111908,Sharpening stones or tools or kits
27111909,Spatulas
27111910,Burins
27111911,Cross cut chisels
27111912,Wood gouge
27111913,Edge trimmer
27111914,Bull point chisel
27111915,Stonemason chisel
27111916,Roof ripper
27111917,Glue roller
27111918,Hand sander
27111919,Bastard cut file
27111920,Second cut file
27111921,Smooth cut file
27111922,Cross cut file
27111923,Chain saw file
27111924,Rasp cut file
27111925,Needle file
27111926,Aluminum flat file
27111927,Aluminum half round file
27111928,Cheesegrater file
27111929,Flat hand file
27111930,Round file
27111931,Half round file
27111932,Square file
27111933,Three square triangular file
27111934,Flat taper file
27111935,Knife file
27111936,Warding file
27111937,Laminate file
27111938,Long angle lathe file
27111939,Half round pipe line file
27111940,Mill saw file
27111941,Taper saw file
27111942,Double end saw file
27111943,Farmers own file
27111944,Precision file
27111945,Die sinker riffler
27111946,Silversmiths riffler
27111948,Half round wood rasp
27111949,Half round cabinet rasp
27111950,Round wood rasp
27111951,Four in hand shoe rasp
27111952,Horse rasp
27111953,Farrier rasp
27111954,Taper shank bridge reamer
27111955,Round shank bridge reamer
27111956,Burnisher
27111957,Nozzle cleaner
27111958,Hand lapper
27112001,Machetes
27112002,Spades
27112003,Rakes
27112004,Shovels
27112005,Axes
27112006,Scythes
27112007,Secateurs or pruning shears
27112008,Hoes
27112009,Scrapers
27112010,Garden forks
27112011,Tool handles
27112012,Garden riddles
27112013,Post hole digger
27112014,Lawnmowers
27112015,Lawn scarifiers
27112016,Hedge clippers
27112017,Digging bars
27112018,Bulb planter
27112019,Pruning saw
27112020,Sickle
27112021,Lawn aerator
27112022,Border shear
27112023,Hand cultivator
27112024,Miniature garden tool set
27112025,Short handled hoe
27112026,Handle wedge
27112027,Garden broom
27112028,Tree debarker
27112029,Garden watering can
27112030,Billhook
27112031,Garden sieve
27112032,Adze
27112033,Garden tool set
27112034,Root cutter
27112035,Hedge trimmer
27112036,Garden shredder
27112037,Brush cutter
27112038,Garden chainsaw
27112039,Lopper
27112040,Soil probe
27112041,Grafting knife
27112042,Tree caliper
27112043,Tree diagnostic tool or resistograph
27112044,Tree trunk Injection set
27112045,Sod cutter
27112046,Turf sweeper
27112047,High branch shears
27112101,Pipe vises
27112102,Bench vises
27112103,Hand clamps
27112104,Tongs
27112105,Tweezers
27112106,Linemans pliers
27112107,Adjustable widemouth pliers
27112108,Needlenose pliers
27112109,Magnetic tools
27112110,Retaining ring pliers
27112111,Alligator pliers
27112112,Tongue and groove pliers
27112113,Slip or groove joint pliers
27112114,Diagonal cut pliers
27112115,Locking pliers
27112116,Fence pliers
27112117,End cut pliers
27112119,Light bulb changer
27112120,C clamps
27112121,Corner clamps
27112122,Sheet metal pliers
27112123,Bench dog
27112124,Tensioners
27112125,Round nose pliers
27112126,Flat nose pliers
27112127,Strap wrenches
27112128,Curved nose pliers
27112129,Round handle clamps
27112130,Three jaw clamps
27112131,Deep throat jaw opening clamps
27112132,Hold down clamps
27112133,T handle clamps
27112134,Longnose pliers
27112135,Insulated pliers
27112136,Non sparking pliers
27112137,Pliers set
27112138,Manual pipe straightener
27112139,Combination pliers
27112140,Circlip pliers
27112141,Glass pliers
27112142,Multi tool pliers
27112143,Tile cutting pliers
27112144,Snap pliers
27112145,Slip joint pliers
27112146,Swivel base vise
27112147,Crimping pliers
27112148,Electronics pliers
27112149,Electrostatic pliers
27112150,Jewellers pliers
27112151,Wire-stripping pliers
27112152,Triclover clamp
27112153,Belt lacer
27112154,Milling vise
27112155,Piston ring expander
27112156,Hand vise
27112157,Drill vise
27112158,Leg vise
27112159,Chain vise
27112160,Wire twister
27112161,Wire wrapping tool
27112162,Rule clamp
27112201,Trowels
27112202,Floats
27112203,Edgers
27112205,Concrete vibrators
27112206,Screed board
27112207,Hand rammer
27112208,Pickaxe
27112209,Masonry shovel
27112210,Brick jointer
27112211,Tuck pointer
27112212,Curb face tool
27112213,Concrete chute
27112215,Grooving edger
27112216,Tile scribe
27112217,Tile cutter
27112218,Tile power saw
27112219,Tile nipper
27112220,Tile hand saw
27112221,Tile drill bit
27112222,Tile hole cutter
27112223,Tile file
27112224,Profile gauge
27112225,Notched spreader
27112226,Tile trowel
27112227,Grout spreader
27112228,Grout rake
27112229,Tile removing chisel
27112230,Tuck pointer or joint filler
27112231,Step tool
27112232,Groover
27112301,Branders
27112302,Awls
27112303,Scribers
27112304,Chalk lines
27112305,Metal markers or holders
27112306,Metal stamps
27112307,Chalk for chalk line
27112308,Marking cart
27112309,Marking pen
27112310,Chalk holder
27112311,Marking chalk
27112312,Surface gauge
27112313,Marking gauge
27112401,Staple guns
27112402,Rivet tools
27112403,Banders
27112404,Anchor setting tools
27112405,Bolt heaters
27112406,Tag guns
27112407,Security tag detacher
27112408,Industrial staple remover
27112409,Explosive stud gun
27112410,Cable tie gun
27112501,Pipe bending tools
27112502,Pry bars
27112503,Conduit benders
27112504,Wedges
27112505,Packing hooks
27112506,Hickeys
27112507,Wrecking or crow bar
27112508,Cable bender
27112601,Putty knives
27112602,Caulking tools
27112603,Insertion tool
27112604,Putty bowl
27112701,Power blowers
27112702,Power buffers
27112703,Power drills
27112704,Power grinders
27112705,Demolition hammers
27112706,Power planes
27112707,Power routers
27112708,Power sanders
27112709,Power saws
27112710,Power screwguns
27112711,Power staple guns
27112712,Power trimmers
27112713,Impact wrenches
27112714,Power caulking guns
27112715,Power chippers
27112716,Power nail guns
27112717,Heat guns
27112718,Engravers
27112719,Glue guns
27112720,Torque tools
27112721,Biscuit jointers
27112722,Beveling tool
27112723,Power shears
27112724,Power nibbler
27112725,Power riveter
27112726,Power rod cutter
27112727,Mortar gun
27112728,Power flaring tool
27112729,Tube crimper
27112730,Power grease gun
27112731,Power scissors
27112732,Power pipe bender
27112733,Angle cutter
27112734,Jigsaw
27112735,Scroll saw
27112736,Wall chaser
27112737,Orbital sander
27112738,Detail sander
27112739,Belt sander
27112740,Bench sander
27112741,File sander or finger sander
27112742,Disc sander
27112743,Radial arm saw
27112744,Pneumatic saw
27112745,Concrete saw
27112746,Chain saw
27112747,Reciprocating saw
27112748,Miter saw
27112749,Angle grinder
27112750,Battery powered crimping tool
27112751,Power cable cutter accessories
27112802,Saw blades
27112803,End mills
27112804,Stamping dies or punches
27112805,Threading die hand tool
27112806,Threading taps
27112807,Chucks
27112808,Collets
27112809,Tool holders
27112810,Thread repair kits
27112811,Arbors
27112812,Countersinks
27112813,Extension pole
27112814,Screwdriver bits
27112815,Nut driver bits
27112818,Vise jaw liners or caps
27112819,Skiving tool cutter blades
27112820,Lug crimping tool dies
27112821,Router bits
27112822,Hub adapters
27112823,Cutting chains
27112824,Chuck sleeves
27112825,Tool template sets
27112826,Hole saws
27112827,Magnetizer demagnetizer devices
27112828,Impact socket
27112829,Impact wrench attachments and accessories
27112830,Screwdriver accessories and supplies
27112831,Wrench accessories and supplies
27112832,Socket attachments and accessories
27112833,Drill bit case
27112834,Hand pipe threader case
27112835,Machine reamer
27112836,Screwdriver bit set
27112837,Hand reamer
27112838,Cutting disc
27112839,Chisel bit
27112840,Guide drill bit
27112841,Hand drill bit for metal
27112842,Hand drill bit for wood
27112843,Hand drill bit for stone
27112844,Lapping plate
27112845,Drill bit set
27112846,Heat gun adapter
27112847,Die case
27112901,Grease guns
27112902,Industrial funnels
27112903,Hand sprayers
27112904,Resin guns
27112905,Oil can
27112906,Caulking guns
27112907,Broadcast spreaders
27112908,Oil gun
27112909,Roofing mop
27112910,Portable waste oil storage
27112911,Oil cup
27112912,Oil changer
27112913,Oil lubricator
27112914,Grease lubricator
27112915,Natural gas dispenser
27112916,Liquid fuel dispenser or gasoline pump
27112917,Grease gun hose
27112918,Grease gun injector
27112919,Diesel exhaust fluid dispenser
27112920,Forecourt equipment
27112921,Electric vehicle supply equipment
27112922,Hydrogen site equipment
27112923,Hydrogen site equipment
27113001,Scratch brushes
27113002,Tube brushes
27113003,Applicator brushes
27113004,Stretcher brushes
27113005,Roofing brush
27113101,Fish tape
27113102,Fuse pullers
27113103,Fids
27113104,Stake pullers
27113105,Spring expander
27113106,Slide hammer puller
27113201,General tool kits
27113202,Bearing fitting tool kits
27113203,Computer tool kits
27113204,Electrician kits
27113205,"Airport lighting, tools"
27113206,Aircraft rescue tools
27113207,Threading pipe tool kit
27113301,Magnifying glass
27113302,Bearing splitter
27113303,General workshop consumable tools
27113401,Table saw
27113402,Woodturning set
27113501,Machine tool parts and accessories
27113502,Workshop machine tools accessories
27121501,Press return springs
27121502,Hydraulic press frames
27121503,Hydraulic press columns
27121504,Industrial hydraulic press
27121601,Cylinder pistons
27121602,Hydraulic cylinders
27121603,Hydraulic cylinder piston rods
27121604,Hydraulic cylinder or component repair kits
27121605,Hydraulic cylinder barrels
27121606,Mounting bases for hydraulic cylinders
27121701,Hydraulic quick connectors
27121702,Hydraulic tees or crosses
27121703,Ferrules
27121704,Hydraulic unions
27121705,Hydraulic or compression elbows
27121706,Ferrule nuts
27121707,Crimp connectors
27121801,Manhole cover lifters
27121802,Hydraulic accumulators
27121803,Hydraulic clamp
27121804,Hydraulic shears
27121805,Hydraulic extractor
27121806,Hydraulic pipe bender
27121807,Hydraulic puller
27121808,Hydraulic chain cutter
27121809,Hydraulic nut breaking tool
27121810,Hydraulic hand crimp tool
27121811,Hydraulic crimp tool accessory
27121812,Hydraulic remote
27121813,Hydraulic classifier
27121814,Compression die adaptor
27121815,Hydraulic wrench
27121816,Hydraulic punch
27121817,Hydraulic bottle jack
27131501,Pneumatic impact wrenches
27131502,Compressed air gun
27131504,Pneumatic hammer
27131505,Pneumatic drill
27131506,Pneumatic nail drivers
27131507,Pneumatic sanding machines
27131509,Pneumatic accumulators
27131510,Accumulator bladders or bags
27131511,Pneumatic grinders
27131512,Pneumatic screwdriver
27131513,Pneumatic file
27131514,Pneumatic pliers
27131515,Pneumatic wrench non impact
27131516,Pneumatic pen
27131517,Industrial pneumatic stapler
27131518,Pneumatic auto glass removal tool
27131519,Pneumatic or air punch
27131520,Pneumatic rod cutter
27131521,Pneumatic riveter
27131522,Miniature pneumatic sander
27131523,Pneumatic rammer
27131524,Pneumatic countersink
27131525,Pneumatic shears
27131526,Pneumatic press
27131527,Pneumatic tool set
27131528,Pneumatic nail puller
27131529,Pneumatic elevators
27131530,Pneumatic tools and accessories
27131601,Air manifolds
27131603,Air regulators
27131604,Pneumatic lubricators
27131605,Air curtain
27131608,Vacuum cups or pads
27131609,Pneumatic silencers
27131610,Lubricator or regulator repair kits
27131613,Air coupling
27131614,Pneumatic adapters
27131615,Pneumatic vacuum generator
