COMMODITY,Description
85593410,"Revision of infusion device in stomach, percutaneous endoscopic approach"
85593411,"Revision of monitoring device in stomach, percutaneous endoscopic approach"
85593412,"Revision of drainage device in stomach, percutaneous endoscopic approach"
85593413,"Restriction of stomach, pylorus, percutaneous endoscopic approach"
85593414,"Restriction of stomach, pylorus with intraluminal device, percutaneous endoscopic approach"
85593415,"Restriction of stomach, pylorus with extraluminal device, percutaneous endoscopic approach"
85593416,"Restriction of stomach, percutaneous endoscopic approach"
85593417,"Restriction of stomach with intraluminal device, percutaneous endoscopic approach"
85593418,"Restriction of stomach with extraluminal device, percutaneous endoscopic approach"
85593419,"Restriction of esophagus, percutaneous endoscopic approach"
85593420,"Restriction of esophagus with intraluminal device, percutaneous endoscopic approach"
85593421,"Restriction of esophagus with extraluminal device, percutaneous endoscopic approach"
85593422,"Restriction of esophagogastric junction, percutaneous endoscopic approach"
85593423,"Restriction of esophagogastric junction with intraluminal device, percutaneous endoscopic approach"
85593424,"Restriction of esophagogastric junction with extraluminal device, percutaneous endoscopic approach"
85593425,"Restriction of lower esophagus, percutaneous endoscopic approach"
85593426,"Restriction of lower esophagus with intraluminal device, percutaneous endoscopic approach"
85593427,"Restriction of lower esophagus with extraluminal device, percutaneous endoscopic approach"
85593428,"Restriction of middle esophagus, percutaneous endoscopic approach"
85593429,"Restriction of middle esophagus with intraluminal device, percutaneous endoscopic approach"
85593430,"Restriction of middle esophagus with extraluminal device, percutaneous endoscopic approach"
85593431,"Restriction of upper esophagus, percutaneous endoscopic approach"
85593432,"Restriction of upper esophagus with intraluminal device, percutaneous endoscopic approach"
85593433,"Restriction of upper esophagus with extraluminal device, percutaneous endoscopic approach"
85593434,"Supplement anal sphincter with nonautologous tissue substitute, percutaneous endoscopic approach"
85593435,"Supplement anal sphincter with synthetic substitute, percutaneous endoscopic approach"
85593436,"Supplement anal sphincter with autologous tissue substitute, percutaneous endoscopic approach"
85593437,"Supplement stomach, pylorus with nonautologous tissue substitute, percutaneous endoscopic approach"
85593438,"Supplement stomach, pylorus with synthetic substitute, percutaneous endoscopic approach"
85593439,"Supplement stomach, pylorus with autologous tissue substitute, percutaneous endoscopic approach"
85593440,"Supplement stomach with nonautologous tissue substitute, percutaneous endoscopic approach"
85593441,"Supplement stomach with synthetic substitute, percutaneous endoscopic approach"
85593442,"Supplement stomach with autologous tissue substitute, percutaneous endoscopic approach"
85593443,"Supplement esophagus with nonautologous tissue substitute, percutaneous endoscopic approach"
85593444,"Supplement esophagus with synthetic substitute, percutaneous endoscopic approach"
85593445,"Supplement esophagus with autologous tissue substitute, percutaneous endoscopic approach"
85593446,"Supplement esophagogastric junction with nonautologous tissue substitute, percutaneous endoscopic approach"
85593447,"Supplement esophagogastric junction with synthetic substitute, percutaneous endoscopic approach"
85593448,"Supplement esophagogastric junction with autologous tissue substitute, percutaneous endoscopic approach"
85593449,"Supplement lower esophagus with nonautologous tissue substitute, percutaneous endoscopic approach"
85593450,"Supplement lower esophagus with synthetic substitute, percutaneous endoscopic approach"
85593451,"Supplement lower esophagus with autologous tissue substitute, percutaneous endoscopic approach"
85593452,"Supplement middle esophagus with nonautologous tissue substitute, percutaneous endoscopic approach"
85593453,"Supplement middle esophagus with synthetic substitute, percutaneous endoscopic approach"
85593454,"Supplement middle esophagus with autologous tissue substitute, percutaneous endoscopic approach"
85593455,"Supplement upper esophagus with nonautologous tissue substitute, percutaneous endoscopic approach"
85593456,"Supplement upper esophagus with synthetic substitute, percutaneous endoscopic approach"
85593457,"Supplement upper esophagus with autologous tissue substitute, percutaneous endoscopic approach"
85593458,"Resection of anal sphincter, percutaneous endoscopic approach"
85593459,"Resection of stomach, pylorus, percutaneous endoscopic approach"
85593460,"Resection of stomach, percutaneous endoscopic approach"
85593461,"Resection of esophagus, percutaneous endoscopic approach"
85593462,"Resection of esophagogastric junction, percutaneous endoscopic approach"
85593463,"Resection of lower esophagus, percutaneous endoscopic approach"
85593464,"Resection of middle esophagus, percutaneous endoscopic approach"
85593465,"Resection of upper esophagus, percutaneous endoscopic approach"
85593466,"Reposition stomach, percutaneous endoscopic approach"
85593467,"Reposition esophagus, percutaneous endoscopic approach"
85593468,"Replacement of anal sphincter with nonautologous tissue substitute, percutaneous endoscopic approach"
85593469,"Replacement of anal sphincter with synthetic substitute, percutaneous endoscopic approach"
85593470,"Replacement of anal sphincter with autologous tissue substitute, percutaneous endoscopic approach"
85593471,"Replacement of esophagus with nonautologous tissue substitute, percutaneous endoscopic approach"
85593472,"Replacement of esophagus with synthetic substitute, percutaneous endoscopic approach"
85593473,"Replacement of esophagus with autologous tissue substitute, percutaneous endoscopic approach"
85593501,"Repair anal sphincter, percutaneous endoscopic approach"
85593502,"Repair stomach, pylorus, percutaneous endoscopic approach"
85593503,"Repair stomach, percutaneous endoscopic approach"
85593504,"Repair esophagus, percutaneous endoscopic approach"
85593505,"Repair esophagogastric junction, percutaneous endoscopic approach"
85593506,"Repair lower esophagus, percutaneous endoscopic approach"
85593507,"Repair middle esophagus, percutaneous endoscopic approach"
85593508,"Repair upper esophagus, percutaneous endoscopic approach"
85593509,"Removal of stimulator lead from anal sphincter, percutaneous endoscopic approach"
85593510,"Removal of feeding device from stomach, percutaneous endoscopic approach"
85593511,"Removal of stimulator lead from stomach, percutaneous endoscopic approach"
85593512,"Removal of nonautologous tissue substitute from stomach, percutaneous endoscopic approach"
85593513,"Removal of synthetic substitute from stomach, percutaneous endoscopic approach"
85593514,"Removal of intraluminal device from stomach, percutaneous endoscopic approach"
85593515,"Removal of extraluminal device from stomach, percutaneous endoscopic approach"
85593516,"Removal of autologous tissue substitute from stomach, percutaneous endoscopic approach"
85593517,"Removal of infusion device from stomach, percutaneous endoscopic approach"
85593518,"Removal of monitoring device from stomach, percutaneous endoscopic approach"
85593519,"Removal of drainage device from stomach, percutaneous endoscopic approach"
85593520,"Removal of feeding device from esophagus, percutaneous endoscopic approach"
85593521,"Removal of infusion device from esophagus, percutaneous endoscopic approach"
85593522,"Removal of monitoring device from esophagus, percutaneous endoscopic approach"
85593523,"Removal of radioactive element from esophagus, percutaneous endoscopic approach"
85593524,"Release anal sphincter, percutaneous endoscopic approach"
85593525,"Release stomach, pylorus, percutaneous endoscopic approach"
85593526,"Release stomach, percutaneous endoscopic approach"
85593527,"Release esophagus, percutaneous endoscopic approach"
85593528,"Release esophagogastric junction, percutaneous endoscopic approach"
85593529,"Release lower esophagus, percutaneous endoscopic approach"
85593530,"Release middle esophagus, percutaneous endoscopic approach"
85593531,"Release upper esophagus, percutaneous endoscopic approach"
85593532,"Reattachment of stomach, percutaneous endoscopic approach"
85593533,"Reattachment of esophagus, percutaneous endoscopic approach"
85593534,"Occlusion of stomach, pylorus, percutaneous endoscopic approach"
85593535,"Occlusion of stomach, pylorus with intraluminal device, percutaneous endoscopic approach"
85593536,"Occlusion of stomach, pylorus with extraluminal device, percutaneous endoscopic approach"
85593537,"Occlusion of stomach, percutaneous endoscopic approach"
85593538,"Occlusion of stomach with intraluminal device, percutaneous endoscopic approach"
85593539,"Occlusion of stomach with extraluminal device, percutaneous endoscopic approach"
85593540,"Occlusion of esophagus, percutaneous endoscopic approach"
85593541,"Occlusion of esophagus with intraluminal device, percutaneous endoscopic approach"
85593542,"Occlusion of esophagus with extraluminal device, percutaneous endoscopic approach"
85593543,"Occlusion of esophagogastric junction, percutaneous endoscopic approach"
85593544,"Occlusion of esophagogastric junction with intraluminal device, percutaneous endoscopic approach"
85593545,"Occlusion of esophagogastric junction with extraluminal device, percutaneous endoscopic approach"
85593546,"Occlusion of lower esophagus, percutaneous endoscopic approach"
85593547,"Occlusion of lower esophagus with intraluminal device, percutaneous endoscopic approach"
85593548,"Occlusion of lower esophagus with extraluminal device, percutaneous endoscopic approach"
85593549,"Occlusion of middle esophagus, percutaneous endoscopic approach"
85593550,"Occlusion of middle esophagus with intraluminal device, percutaneous endoscopic approach"
85593551,"Occlusion of middle esophagus with extraluminal device, percutaneous endoscopic approach"
85593552,"Occlusion of upper esophagus, percutaneous endoscopic approach"
85593553,"Occlusion of upper esophagus with intraluminal device, percutaneous endoscopic approach"
85593554,"Occlusion of upper esophagus with extraluminal device, percutaneous endoscopic approach"
85593555,"Inspection of stomach, percutaneous endoscopic approach"
85593556,"Insertion of stimulator lead into anal sphincter, percutaneous endoscopic approach"
85593557,"Insertion of feeding device into stomach, percutaneous endoscopic approach"
85593558,"Insertion of stimulator lead into stomach, percutaneous endoscopic approach"
85593559,"Insertion of intraluminal device into stomach, percutaneous endoscopic approach"
85593560,"Insertion of infusion device into stomach, percutaneous endoscopic approach"
85593561,"Insertion of monitoring device into stomach, percutaneous endoscopic approach"
85593562,"Insertion of feeding device into esophagus, percutaneous endoscopic approach"
85593563,"Insertion of intraluminal device into esophagus, percutaneous endoscopic approach"
85593564,"Insertion of infusion device into esophagus, percutaneous endoscopic approach"
85593565,"Insertion of monitoring device into esophagus, percutaneous endoscopic approach"
85593566,"Insertion of radioactive element into esophagus, percutaneous endoscopic approach"
85593567,"Fragmentation in stomach, percutaneous endoscopic approach"
85593568,"Fragmentation in esophagus, percutaneous endoscopic approach"
85593569,"Extirpation of matter from anal sphincter, percutaneous endoscopic approach"
85593570,"Extirpation of matter from stomach, pylorus, percutaneous endoscopic approach"
85593571,"Extirpation of matter from stomach, percutaneous endoscopic approach"
85593572,"Extirpation of matter from esophagus, percutaneous endoscopic approach"
85593573,"Extirpation of matter from esophagogastric junction, percutaneous endoscopic approach"
85593574,"Extirpation of matter from lower esophagus, percutaneous endoscopic approach"
85593575,"Extirpation of matter from middle esophagus, percutaneous endoscopic approach"
85593576,"Extirpation of matter from upper esophagus, percutaneous endoscopic approach"
85593601,"Excision of anal sphincter, percutaneous endoscopic approach"
85593602,"Excision of stomach, pylorus, percutaneous endoscopic approach"
85593603,"Excision of stomach, pylorus, percutaneous endoscopic approach, diagnostic"
85593604,"Excision of stomach, percutaneous endoscopic approach"
85593605,"Excision of stomach, percutaneous endoscopic approach, vertical"
85593606,"Excision of esophagus, percutaneous endoscopic approach"
85593607,"Excision of esophagogastric junction, percutaneous endoscopic approach"
85593608,"Excision of lower esophagus, percutaneous endoscopic approach"
85593609,"Excision of middle esophagus, percutaneous endoscopic approach"
85593610,"Excision of upper esophagus, percutaneous endoscopic approach"
85593611,"Drainage of anal sphincter, percutaneous endoscopic approach"
85593612,"Drainage of anal sphincter with drainage device, percutaneous endoscopic approach"
85593613,"Drainage of stomach, pylorus, percutaneous endoscopic approach"
85593614,"Drainage of stomach, pylorus, percutaneous endoscopic approach, diagnostic"
85593615,"Drainage of stomach, pylorus with drainage device, percutaneous endoscopic approach"
85593616,"Drainage of stomach, percutaneous endoscopic approach"
85593617,"Drainage of stomach with drainage device, percutaneous endoscopic approach"
85593618,"Drainage of esophagus, percutaneous endoscopic approach"
85593619,"Drainage of esophagus with drainage device, percutaneous endoscopic approach"
85593620,"Drainage of esophagogastric junction, percutaneous endoscopic approach"
85593621,"Drainage of esophagogastric junction with drainage device, percutaneous endoscopic approach"
85593622,"Drainage of lower esophagus, percutaneous endoscopic approach"
85593623,"Drainage of lower esophagus with drainage device, percutaneous endoscopic approach"
85593624,"Drainage of middle esophagus, percutaneous endoscopic approach"
85593625,"Drainage of middle esophagus with drainage device, percutaneous endoscopic approach"
85593626,"Drainage of upper esophagus, percutaneous endoscopic approach"
85593627,"Drainage of upper esophagus with drainage device, percutaneous endoscopic approach"
85593628,"Division of stomach, pylorus, percutaneous endoscopic approach"
85593629,"Division of esophagogastric junction, percutaneous endoscopic approach"
85593630,"Dilation of stomach, pylorus, percutaneous endoscopic approach"
85593631,"Dilation of stomach, pylorus with intraluminal device, percutaneous endoscopic approach"
85593632,"Dilation of stomach, percutaneous endoscopic approach"
85593633,"Dilation of stomach with intraluminal device, percutaneous endoscopic approach"
85593634,"Dilation of esophagus, percutaneous endoscopic approach"
85593635,"Dilation of esophagus with intraluminal device, percutaneous endoscopic approach"
85593636,"Dilation of esophagogastric junction, percutaneous endoscopic approach"
85593637,"Dilation of esophagogastric junction with intraluminal device, percutaneous endoscopic approach"
85593638,"Dilation of lower esophagus, percutaneous endoscopic approach"
85593639,"Dilation of lower esophagus with intraluminal device, percutaneous endoscopic approach"
85593640,"Dilation of middle esophagus, percutaneous endoscopic approach"
85593641,"Dilation of middle esophagus with intraluminal device, percutaneous endoscopic approach"
85593642,"Dilation of upper esophagus, percutaneous endoscopic approach"
85593643,"Dilation of upper esophagus with intraluminal device, percutaneous endoscopic approach"
85593644,"Destruction of anal sphincter, percutaneous endoscopic approach"
85593645,"Destruction of stomach, pylorus, percutaneous endoscopic approach"
85593646,"Destruction of stomach, percutaneous endoscopic approach"
85593647,"Destruction of esophagus, percutaneous endoscopic approach"
85593648,"Destruction of esophagogastric junction, percutaneous endoscopic approach"
85593649,"Destruction of lower esophagus, percutaneous endoscopic approach"
85593650,"Destruction of middle esophagus, percutaneous endoscopic approach"
85593651,"Destruction of upper esophagus, percutaneous endoscopic approach"
85593652,"Bypass stomach to ileum, percutaneous endoscopic approach"
85593653,"Bypass stomach to jejunum, percutaneous endoscopic approach"
85593654,"Bypass stomach to duodenum, percutaneous endoscopic approach"
85593655,"Bypass stomach to cutaneous, percutaneous endoscopic approach"
85593656,"Bypass stomach to ileum with nonautologous tissue substitute, percutaneous endoscopic approach"
85593657,"Bypass stomach to jejunum with nonautologous tissue substitute, percutaneous endoscopic approach"
85593658,"Bypass stomach to duodenum with nonautologous tissue substitute, percutaneous endoscopic approach"
85593659,"Bypass stomach to cutaneous with nonautologous tissue substitute, percutaneous endoscopic approach"
85593660,"Bypass stomach to ileum with synthetic substitute, percutaneous endoscopic approach"
85593661,"Bypass stomach to jejunum with synthetic substitute, percutaneous endoscopic approach"
85593662,"Bypass stomach to duodenum with synthetic substitute, percutaneous endoscopic approach"
85593663,"Bypass stomach to cutaneous with synthetic substitute, percutaneous endoscopic approach"
85593664,"Bypass stomach to ileum with autologous tissue substitute, percutaneous endoscopic approach"
85593665,"Bypass stomach to jejunum with autologous tissue substitute, percutaneous endoscopic approach"
85593666,"Bypass stomach to duodenum with autologous tissue substitute, percutaneous endoscopic approach"
85593667,"Bypass stomach to cutaneous with autologous tissue substitute, percutaneous endoscopic approach"
85593701,"Revision of feeding device in upper intestinal tract, external approach"
85593702,"Revision of nonautologous tissue substitute in upper intestinal tract, external approach"
85593703,"Revision of synthetic substitute in upper intestinal tract, external approach"
85593704,"Revision of intraluminal device in upper intestinal tract, external approach"
85593705,"Revision of extraluminal device in upper intestinal tract, external approach"
85593706,"Revision of autologous tissue substitute in upper intestinal tract, external approach"
85593707,"Revision of infusion device in upper intestinal tract, external approach"
85593708,"Revision of monitoring device in upper intestinal tract, external approach"
85593709,"Revision of drainage device in upper intestinal tract, external approach"
85593710,"Reposition ileum, external approach"
85593711,"Reposition jejunum, external approach"
85593712,"Reposition duodenum, external approach"
85593713,"Removal of feeding device from upper intestinal tract, external approach"
85593714,"Removal of intraluminal device from upper intestinal tract, external approach"
85593715,"Removal of infusion device from upper intestinal tract, external approach"
85593716,"Removal of monitoring device from upper intestinal tract, external approach"
85593717,"Removal of drainage device from upper intestinal tract, external approach"
85593718,"Inspection of upper intestinal tract, external approach"
85593719,"Fragmentation in ileum, external approach"
85593720,"Fragmentation in jejunum, external approach"
85593721,"Fragmentation in duodenum, external approach"
85593722,"Fragmentation in small intestine, external approach"
85593723,"Change other device in upper intestinal tract, external approach"
85593724,"Change feeding device in upper intestinal tract, external approach"
85593725,"Change drainage device in upper intestinal tract, external approach"
85593801,"Transplantation of small intestine, zooplastic, open approach"
85593802,"Transplantation of small intestine, syngeneic, open approach"
85593803,"Transplantation of small intestine, allogeneic, open approach"
85593804,"Transfer small intestine to esophagus, open approach"
85593805,"Revision of nonautologous tissue substitute in small intestine, open approach"
85593806,"Revision of synthetic substitute in small intestine, open approach"
85593807,"Revision of autologous tissue substitute in small intestine, open approach"
85593808,"Revision of feeding device in upper intestinal tract, open approach"
85593809,"Revision of nonautologous tissue substitute in upper intestinal tract, open approach"
85593810,"Revision of synthetic substitute in upper intestinal tract, open approach"
85593811,"Revision of intraluminal device in upper intestinal tract, open approach"
85593812,"Revision of extraluminal device in upper intestinal tract, open approach"
85593813,"Revision of autologous tissue substitute in upper intestinal tract, open approach"
85593814,"Revision of infusion device in upper intestinal tract, open approach"
85593815,"Revision of monitoring device in upper intestinal tract, open approach"
85593816,"Revision of drainage device in upper intestinal tract, open approach"
85593817,"Restriction of ileum, open approach"
85593818,"Restriction of ileum with intraluminal device, open approach"
85593819,"Restriction of ileum with extraluminal device, open approach"
85593820,"Restriction of jejunum, open approach"
85593821,"Restriction of jejunum with intraluminal device, open approach"
85593822,"Restriction of jejunum with extraluminal device, open approach"
85593823,"Restriction of duodenum, open approach"
85593824,"Restriction of duodenum with intraluminal device, open approach"
85593825,"Restriction of duodenum with extraluminal device, open approach"
85593826,"Restriction of small intestine, open approach"
85593827,"Restriction of small intestine with intraluminal device, open approach"
85593828,"Restriction of small intestine with extraluminal device, open approach"
85593829,"Supplement ileum with nonautologous tissue substitute, open approach"
85593830,"Supplement ileum with synthetic substitute, open approach"
85593831,"Supplement ileum with autologous tissue substitute, open approach"
85593832,"Supplement jejunum with nonautologous tissue substitute, open approach"
85593833,"Supplement jejunum with synthetic substitute, open approach"
85593834,"Supplement jejunum with autologous tissue substitute, open approach"
85593835,"Supplement duodenum with nonautologous tissue substitute, open approach"
85593836,"Supplement duodenum with synthetic substitute, open approach"
85593837,"Supplement duodenum with autologous tissue substitute, open approach"
85593838,"Supplement small intestine with nonautologous tissue substitute, open approach"
85593839,"Supplement small intestine with synthetic substitute, open approach"
85593840,"Supplement small intestine with autologous tissue substitute, open approach"
85593841,"Resection of ileum, open approach"
85593842,"Resection of jejunum, open approach"
85593843,"Resection of duodenum, open approach"
85593844,"Resection of small intestine, open approach"
85593845,"Reposition ileum, open approach"
85593846,"Reposition jejunum, open approach"
85593847,"Reposition duodenum, open approach"
85593848,"Repair ileum, open approach"
85593849,"Repair jejunum, open approach"
85593850,"Repair duodenum, open approach"
85593851,"Repair small intestine, open approach"
85593852,"Removal of feeding device from upper intestinal tract, open approach"
85593853,"Removal of nonautologous tissue substitute from upper intestinal tract, open approach"
85593854,"Removal of synthetic substitute from upper intestinal tract, open approach"
85593855,"Removal of intraluminal device from upper intestinal tract, open approach"
85593856,"Removal of extraluminal device from upper intestinal tract, open approach"
85593857,"Removal of autologous tissue substitute from upper intestinal tract, open approach"
85593858,"Removal of infusion device from upper intestinal tract, open approach"
85593859,"Removal of monitoring device from upper intestinal tract, open approach"
85593860,"Removal of drainage device from upper intestinal tract, open approach"
85593861,"Release ileum, open approach"
85593862,"Release jejunum, open approach"
85593863,"Release duodenum, open approach"
85593864,"Release small intestine, open approach"
85593865,"Reattachment of ileum, open approach"
85593866,"Reattachment of jejunum, open approach"
85593867,"Reattachment of duodenum, open approach"
85593868,"Reattachment of small intestine, open approach"
85593901,"Occlusion of ileum, open approach"
85593902,"Occlusion of ileum with intraluminal device, open approach"
85593903,"Occlusion of ileum with extraluminal device, open approach"
85593904,"Occlusion of jejunum, open approach"
85593905,"Occlusion of jejunum with intraluminal device, open approach"
85593906,"Occlusion of jejunum with extraluminal device, open approach"
85593907,"Occlusion of duodenum, open approach"
85593908,"Occlusion of duodenum with intraluminal device, open approach"
85593909,"Occlusion of duodenum with extraluminal device, open approach"
85593910,"Occlusion of small intestine, open approach"
85593911,"Occlusion of small intestine with intraluminal device, open approach"
85593912,"Occlusion of small intestine with extraluminal device, open approach"
85593913,"Inspection of upper intestinal tract, open approach"
85593914,"Insertion of feeding device into ileum, open approach"
85593915,"Insertion of intraluminal device into ileum, open approach"
85593916,"Insertion of infusion device into ileum, open approach"
85593917,"Insertion of monitoring device into ileum, open approach"
85593918,"Insertion of feeding device into jejunum, open approach"
85593919,"Insertion of intraluminal device into jejunum, open approach"
85593920,"Insertion of infusion device into jejunum, open approach"
85593921,"Insertion of monitoring device into jejunum, open approach"
85593922,"Insertion of feeding device into duodenum, open approach"
85593923,"Insertion of intraluminal device into duodenum, open approach"
85593924,"Insertion of infusion device into duodenum, open approach"
85593925,"Insertion of monitoring device into duodenum, open approach"
85593926,"Insertion of feeding device into small intestine, open approach"
85593927,"Insertion of intraluminal device into small intestine, open approach"
85593928,"Insertion of infusion device into small intestine, open approach"
85593929,"Insertion of monitoring device into small intestine, open approach"
85593930,"Fragmentation in ileum, open approach"
85593931,"Fragmentation in jejunum, open approach"
85593932,"Fragmentation in duodenum, open approach"
85593933,"Fragmentation in small intestine, open approach"
85593934,"Extirpation of matter from ileum, open approach"
85593935,"Extirpation of matter from jejunum, open approach"
85593936,"Extirpation of matter from duodenum, open approach"
85593937,"Extirpation of matter from small intestine, open approach"
85593938,"Excision of ileum, open approach"
85593939,"Excision of jejunum, open approach"
85593940,"Excision of duodenum, open approach"
85593941,"Excision of small intestine, open approach"
85593942,"Drainage of ileum, open approach"
85593943,"Drainage of ileum with drainage device, open approach"
85593944,"Drainage of jejunum, open approach"
85593945,"Drainage of jejunum with drainage device, open approach"
85593946,"Drainage of duodenum, open approach"
85593947,"Drainage of duodenum with drainage device, open approach"
85593948,"Drainage of small intestine, open approach"
85593949,"Drainage of small intestine with drainage device, open approach"
85593950,"Dilation of ileum, open approach"
85593951,"Dilation of ileum with intraluminal device, open approach"
85593952,"Dilation of jejunum, open approach"
85593953,"Dilation of jejunum with intraluminal device, open approach"
85593954,"Dilation of duodenum, open approach"
85593955,"Dilation of duodenum with intraluminal device, open approach"
85593956,"Dilation of small intestine, open approach"
85593957,"Dilation of small intestine with intraluminal device, open approach"
85593958,"Destruction of ileum, open approach"
85593959,"Destruction of jejunum, open approach"
85593960,"Destruction of duodenum, open approach"
85593961,"Destruction of small intestine, open approach"
85594001,"Bypass ileum to anus, open approach"
85594002,"Bypass ileum to rectum, open approach"
85594003,"Bypass ileum to cecum, open approach"
85594004,"Bypass ileum to ileum, open approach"
85594005,"Bypass ileum to cutaneous, open approach"
85594006,"Bypass ileum to anus with nonautologous tissue substitute, open approach"
85594007,"Bypass ileum to rectum with nonautologous tissue substitute, open approach"
85594008,"Bypass ileum to cecum with nonautologous tissue substitute, open approach"
85594009,"Bypass ileum to ileum with nonautologous tissue substitute, open approach"
85594010,"Bypass ileum to cutaneous with nonautologous tissue substitute, open approach"
85594011,"Bypass ileum to anus with synthetic substitute, open approach"
85594012,"Bypass ileum to rectum with synthetic substitute, open approach"
85594013,"Bypass ileum to cecum with synthetic substitute, open approach"
85594014,"Bypass ileum to ileum with synthetic substitute, open approach"
85594015,"Bypass ileum to cutaneous with synthetic substitute, open approach"
85594016,"Bypass ileum to anus with autologous tissue substitute, open approach"
85594017,"Bypass ileum to rectum with autologous tissue substitute, open approach"
85594018,"Bypass ileum to cecum with autologous tissue substitute, open approach"
85594019,"Bypass ileum to ileum with autologous tissue substitute, open approach"
85594020,"Bypass ileum to cutaneous with autologous tissue substitute, open approach"
85594021,"Bypass jejunum to anus, open approach"
85594022,"Bypass jejunum to rectum, open approach"
85594023,"Bypass jejunum to cecum, open approach"
85594024,"Bypass jejunum to ileum, open approach"
85594025,"Bypass jejunum to jejunum, open approach"
85594026,"Bypass jejunum to cutaneous, open approach"
85594027,"Bypass jejunum to anus with nonautologous tissue substitute, open approach"
85594028,"Bypass jejunum to rectum with nonautologous tissue substitute, open approach"
85594029,"Bypass jejunum to cecum with nonautologous tissue substitute, open approach"
85594030,"Bypass jejunum to ileum with nonautologous tissue substitute, open approach"
85594031,"Bypass jejunum to jejunum with nonautologous tissue substitute, open approach"
85594032,"Bypass jejunum to cutaneous with nonautologous tissue substitute, open approach"
85594033,"Bypass jejunum to anus with synthetic substitute, open approach"
85594034,"Bypass jejunum to rectum with synthetic substitute, open approach"
85594035,"Bypass jejunum to cecum with synthetic substitute, open approach"
85594036,"Bypass jejunum to ileum with synthetic substitute, open approach"
85594037,"Bypass jejunum to jejunum with synthetic substitute, open approach"
85594038,"Bypass jejunum to cutaneous with synthetic substitute, open approach"
85594039,"Bypass jejunum to anus with autologous tissue substitute, open approach"
85594040,"Bypass jejunum to rectum with autologous tissue substitute, open approach"
85594041,"Bypass jejunum to cecum with autologous tissue substitute, open approach"
85594042,"Bypass jejunum to ileum with autologous tissue substitute, open approach"
85594043,"Bypass jejunum to jejunum with autologous tissue substitute, open approach"
85594044,"Bypass jejunum to cutaneous with autologous tissue substitute, open approach"
85594045,"Bypass duodenum to ileum, open approach"
85594046,"Bypass duodenum to jejunum, open approach"
85594047,"Bypass duodenum to duodenum, open approach"
85594048,"Bypass duodenum to cutaneous, open approach"
85594049,"Bypass duodenum to ileum with nonautologous tissue substitute, open approach"
85594050,"Bypass duodenum to jejunum with nonautologous tissue substitute, open approach"
85594051,"Bypass duodenum to duodenum with nonautologous tissue substitute, open approach"
85594052,"Bypass duodenum to cutaneous with nonautologous tissue substitute, open approach"
85594053,"Bypass duodenum to ileum with synthetic substitute, open approach"
85594054,"Bypass duodenum to jejunum with synthetic substitute, open approach"
85594055,"Bypass duodenum to duodenum with synthetic substitute, open approach"
85594056,"Bypass duodenum to cutaneous with synthetic substitute, open approach"
85594057,"Bypass duodenum to ileum with autologous tissue substitute, open approach"
85594058,"Bypass duodenum to jejunum with autologous tissue substitute, open approach"
85594059,"Bypass duodenum to duodenum with autologous tissue substitute, open approach"
85594060,"Bypass duodenum to cutaneous with autologous tissue substitute, open approach"
85594101,"Revision of feeding device in upper intestinal tract, percutaneous approach"
85594102,"Revision of nonautologous tissue substitute in upper intestinal tract, percutaneous approach"
85594103,"Revision of synthetic substitute in upper intestinal tract, percutaneous approach"
85594104,"Revision of intraluminal device in upper intestinal tract, percutaneous approach"
85594105,"Revision of extraluminal device in upper intestinal tract, percutaneous approach"
85594106,"Revision of autologous tissue substitute in upper intestinal tract, percutaneous approach"
85594107,"Revision of infusion device in upper intestinal tract, percutaneous approach"
85594108,"Revision of monitoring device in upper intestinal tract, percutaneous approach"
85594109,"Revision of drainage device in upper intestinal tract, percutaneous approach"
85594110,"Restriction of ileum, percutaneous approach"
85594111,"Restriction of ileum with intraluminal device, percutaneous approach"
85594112,"Restriction of ileum with extraluminal device, percutaneous approach"
85594113,"Restriction of jejunum, percutaneous approach"
85594114,"Restriction of jejunum with intraluminal device, percutaneous approach"
85594115,"Restriction of jejunum with extraluminal device, percutaneous approach"
85594116,"Restriction of duodenum, percutaneous approach"
85594117,"Restriction of duodenum with intraluminal device, percutaneous approach"
85594118,"Restriction of duodenum with extraluminal device, percutaneous approach"
85594119,"Restriction of small intestine, percutaneous approach"
85594120,"Restriction of small intestine with intraluminal device, percutaneous approach"
85594121,"Restriction of small intestine with extraluminal device, percutaneous approach"
85594122,"Repair ileum, percutaneous approach"
85594123,"Repair jejunum, percutaneous approach"
85594124,"Repair duodenum, percutaneous approach"
85594125,"Repair small intestine, percutaneous approach"
85594126,"Removal of feeding device from upper intestinal tract, percutaneous approach"
85594127,"Removal of nonautologous tissue substitute from upper intestinal tract, percutaneous approach"
85594128,"Removal of synthetic substitute from upper intestinal tract, percutaneous approach"
85594129,"Removal of intraluminal device from upper intestinal tract, percutaneous approach"
85594130,"Removal of extraluminal device from upper intestinal tract, percutaneous approach"
85594131,"Removal of autologous tissue substitute from upper intestinal tract, percutaneous approach"
85594132,"Removal of infusion device from upper intestinal tract, percutaneous approach"
85594133,"Removal of monitoring device from upper intestinal tract, percutaneous approach"
85594134,"Removal of drainage device from upper intestinal tract, percutaneous approach"
85594135,"Release ileum, percutaneous approach"
85594136,"Release jejunum, percutaneous approach"
85594137,"Release duodenum, percutaneous approach"
85594138,"Release small intestine, percutaneous approach"
85594139,"Occlusion of ileum, percutaneous approach"
